text,rating,date
"A tank is an armoured fighting vehicle designed for front-line combat, with heavy firepower, strong armour, and tracks and a powerful engine providing good battlefield maneuverability. The first tanks were designed to overcome the deadlock of trench warfare; in the 2010s, they are a mainstay of modern ground forces and a key part of combined arms combat. Modern tanks are versatile mobile land weapon system platforms, mounting a large-calibre cannon in a rotating gun turret, supplemented by mounted machine guns or other weapons. They combine this with heavy vehicle armour which provides protection for the crew, the vehicle's weapons, and its propulsion systems, and operational mobility, due to its use of tracks rather than wheels, which allows the tank to move over rugged terrain and adverse conditions such as mud, and be positioned on the battlefield in advantageous locations. These features enable the tank to perform well in a variety of intense combat situations, simultaneously both offensively with fire from their powerful tank gun, and defensively due to their near invulnerability from common firearms and good resistance from heavier weapons, all while maintaining the mobility needed to exploit changing tactical situations.[1] Fully integrating tanks into modern military forces spawned a new era of combat, armoured warfare.

The modern tank was the result of a century of development from the first primitive armoured vehicles, due to improvements in technology such as the internal combustion engine, which allowed the rapid movement of heavy armoured vehicles. As a result of these advances, tanks underwent tremendous shifts in capability in the years since their first appearance. Tanks in World War I were developed separately and simultaneously by Great Britain and France as a means to break the deadlock of trench warfare on the Western Front. The initial vehicle, nicknamed Little Willie, was constructed at William Foster & Co. in Lincoln, England in 1915, with leading roles played by Major Walter Gordon Wilson who designed the gearbox and hull, and by William Tritton of William Foster and Co., who designed the track plates.[2] This was a prototype of a new design that would become the British Army's Mark I tank, the first tank used in combat in September 1916 during the Battle of the Somme.[2] The name ""tank"" was adopted by the British during the early stages of their development, as a security measure to conceal their purpose (see etymology). While the British and French built thousands of tanks in World War I, Germany was unconvinced of the tank's potential, and built only twenty.

Tanks of the interwar period evolved into the much larger and more powerful designs of World War II. Important new concepts of armoured warfare were developed; the Soviet Union launched the first mass tank/air attack at Khalkhin Gol (Nomonhan) in August 1939,[3] and later developed the T-34, one of the predecessors of the main battle tank. Less than two weeks later, Germany began their large-scale armoured campaigns that would become known as blitzkrieg (""lightning war"") – massed concentrations of tanks combined with motorised and mechanised infantry, artillery and air power designed to break through the enemy front and collapse enemy resistance.

The widespread introduction of high-explosive anti-tank warheads during the second half of World War II led to lightweight infantry-carried anti-tank weapons such as the Panzerfaust, which could destroy some types of tanks. Tanks in the Cold War were designed with these weapons in mind, and led to greatly improved armour types during the 1960s, especially composite armour. Improved engines, transmissions and suspensions allowed tanks of this period to grow larger. Aspects of gun technology changed significantly as well, with advances in shell design and aiming technology.

During the Cold War, the main battle tank concept arose and became a key component of modern armies.[4] In the 21st century, with the increasing role of asymmetrical warfare and the end of the Cold War, that also contributed to the increase of cost-effective anti-tank rocket propelled grenades (RPGs) worldwide and its successors, the importance of tanks has waned. Modern tanks seldom operate alone, as they are organized into combined arms units which involve the support of infantry, who may accompany the tanks in infantry fighting vehicles. They are also usually supported by reconnaissance or ground-attack aircraft.[5]",5,2018/01/17
"Let’s face it, we have all heard the stories of parents finding out their kids have been buying things on Minecraft using their parents bank card, because the parents made the mistake of having their card registered on the PlayStation store. So whether you have learnt your lesson and prefer to do it this way, instead of having your card registered to your playstation store, or you are buying this as a gift for someone else, this is a quick and easy way to purchase credit for the PlayStation store.

In most stores they only stock the £10 or £20 PlayStation gift cards, and even then sometimes it can take multiple trips to multiple different stores, to find one with the value you want. That can take a lot of effort and time, where as you can just purchase them here.

Buying them on Amazon means you have more options regarding the value of the voucher, without the hassle of trawling around looking for one that suits your budget. When you purchase these vouchers, you will get an email to email address you amazon account is registered with, and the digital voucher code will be there. You do not get a physical top up card through the post, just a digital voucher code via email. Once purchased it does not take long at all for the voucher code to come through via email.

I have purchased a few of these in the past and it was always been a fast and efficient process.",5,2022/07/28
Bought as a present,4,2022/11/07
"I assumed I would get a card without reading the full details. So I was somewhat confused when nothing came...

It was pointed out that an email was sent almost immediately with the code, once I figured it out - voila!

It is so easy and quick it is dangerous...",4,2022/10/09
"I think others have mentioned this & really wish it would come as a card, to give as a gift. Digital is fine, if you know how to send it on as a gift but it's not clear that it's just digital. Can't really comment on value as it's £ for £ the same but to the recipient I guess it's a nice suprise.",4,2022/09/02
Misleading. Wanted a card to give for Christmas,3,2022/12/23
My son was happy to receive his code within minutes of ordering.,5,2022/11/15
good stuff as usual,5,2022/11/22
Does as it says. Perfect for a gift. Since games are so expensive now.,5,2022/11/08
excelent product value for money,5,2022/11/18
more easy useing for my son play games pionts etc,5,2022/11/11
Worked as expected,5,2022/11/13
"Wowser, I paid £5 and got this PS4 gift card for the value of £5. This enabled me to buy stuff worth £5 from PS4. If that isn't stunning, I don't know what is!",5,2022/11/09
Good,5,2022/11/12
"Was a Xmas present therefore I require or wanted a physical Gift Card, and it wasn't. Therefore, I got a credit and purchased it elsewhere.",3,2022/11/28
"You pay £50 and you get a code for use on PlayStation online valued at £50.

Job done!

Cheers",5,2022/10/30
"This purchase is for a voucher code, rather than a physical gift card.

I have ordered many of these over the years and they are easy to use.

After purchase, you receive a 16 digit code. It is available in the 'Your Order' section of the Amazon account.

I often buy these as birthday gifts and write the code onto the birthday card. Which maked them environmental friendly too!",5,2022/09/26
Giid,5,2022/11/06
Came straight to my Gmail account easy to do,5,2022/11/02
"No wasted presents, the perfect grandchild gift.",5,2022/10/26
Was a Christmas prezzy but can't just give a code to my grandson,3,2022/11/19
Nice,5,2022/10/31
works well and is fast at giving the code.,4,2022/08/15
"Positve. Easy way to purchase as a gift and certainly kept my younger family member happy..
Negative... too easy to purchase! I keep getting hounded by my young family member to buy more. Which of course I do🤔",3,2022/10/18
Don’t like how long it’s taking to give me the code been waiting for it for about 6 hours,3,2022/11/12
I placed the order and the product was sent to me via email straight away. Everything worked as it should.,5,2022/10/17
"Fit as expected... wait.
I wish my choice of sale price games was as good this magnificent, easy to use top up voucher",4,2022/07/25
"It’s a £50 voucher for the PS store.

I don’t know what else to say. It’s exactly the same as just adding £50 to your account t directly using your debit card, which was apparently too hard for my ex to do…",5,2022/09/25
Came through straight away,5,2022/10/20
It took very long for the code to show up on my amazon account. It took about 40 min to an hour. I wish it wouldve come sooner but other than that it worked perfect,3,2022/10/02
👍🏻,5,2022/10/20
"If I could give negative stars I would.

I recently purchased this for a friend's birthday under the assumption that it was a gift voucher, however it seems to be just store credit which comes as a code. Then it turns out that his account is in the Rep. Of Ireland and this voucher is land locked to the UK. Rereading the ad I see this, so when I request a transfer to a card I can use in the ROI I am told ""No Refunds"". I never wanted a refund I just want a usable voucher. Eventually got in contact again with Amazon Customer Support, the first rep just said that it was my fault and left the chat! Finally got back in contact with another rep before being passed over to another. I was told that they could escalate a ticket but that I need to speak with Sony first to get a reference. After what felt like 20 years I finally got through to Sony who said that there was no facility in place to facilitate regional transfer on vouchers and that I need to speak to Amazon. Got back to Amazon, passed around a few times before finally being told that that there was nothing that can be done and to ""take it as feedback"".

Completely Pathetic. As someone who has spent thousands of euro over the years with this site across various accounts and Amazon Prime, this is Pathetic Service from Amazon, I can't justify using the site anymore when there is not even protection for buyers. Completely unused and unusable product still being sold.

This is ridiculous, under the voluntary returns policy you are entitled to return the product within 30 days if it is unused. I understand the vender states ""no refunds"" but again under Amazon policy the seller must provide conditions equal to or exceeding Amazon's policies. I don't understand how one can say ""no refunds"" and just back away. Apparently that this doesn't apply to digital products, whether used or not.

Again reading other users reviews the whole product is a scam. It's advertised like a card but comes in a code, then some codes are completely unusable or broken as if they were stolen. It's as if it's being used for money laundering. I highly recommend removing this product from amazon as it's a total scam, mediocre. I've never had an issue with the site however I can't justify staying if there are no protection for purchases. Not even allowed to use PayPal who seem to actually stand by their users.

Let this be a warning to any user who dares look at this product, if the intended PSN account is not in the UK you will NOT get your money back. If the card is purchased and it turns out to be invalid, you will NOT get your money back. You're out on a limb if you buy this product. I wouldn't be surprised if this review is suppressed or deleted. PSN now have £25 of my money which will probably never be redeemed, Please take my warning before anyone spends what little money they may have on this.",1,2022/03/23
"After struggling to find top up for ps3 on playstation store /+ failed payments
this actually works !!!",5,2022/10/07
Good,3,2022/11/08
it was a present so I can't comment,4,2022/07/15
Received an email with my PSN code moments after I placed the order. Also received a notification on amazon with the code too :),5,2022/09/22
you get the code instantly,5,2022/10/11
Hgfvg,5,2022/10/13
5/5 Fast service and easily redeemable on the PlayStation store! Just preordered a game in my basket. :),5,2022/09/29
"This is the first time I've used this method, I found it quick and very easy to use. I'm very happy with the product.",5,2022/09/27
Code,5,2022/10/13
Instant delivery soon as I paid the codes where emailed to me,5,2022/10/04
"Brilliant to buy something off your playstation, all you do is buy it and you'll get an email with your code attached to it",5,2022/09/15
"Simple item, but easy to use, sorted straight away... perfect.",5,2022/10/06
It got me unbanned from taking money away from PS. Ha ha ha,5,2022/09/28
It was all right. I recommend to everyone.,5,2022/10/07
Works straight away amazing woukd continue to buy,5,2022/10/04
Same day the code came brilliant,5,2022/10/07
I thought this would be actual vouchers . Would just go to shops for future ones,5,2022/09/16
"This is the first time I've used this method, I found it quick and very easy to use. I'm very happy with the product.",5,2022/09/27
Code,5,2022/10/13
Instant delivery soon as I paid the codes where emailed to me,5,2022/10/04
"Brilliant to buy something off your playstation, all you do is buy it and you'll get an email with your code attached to it",5,2022/09/15
"Simple item, but easy to use, sorted straight away... perfect.",5,2022/10/06
It got me unbanned from taking money away from PS. Ha ha ha,5,2022/09/28
It was all right. I recommend to everyone.,5,2022/10/07
Works straight away amazing woukd continue to buy,5,2022/10/04
Same day the code came brilliant,5,2022/10/07
I thought this would be actual vouchers . Would just go to shops for future ones,5,2022/09/16
Brilliant,4,2022/07/07
👍🏻,5,2022/10/06
cost 20 quid got 20 quid store credit,5,2022/09/25
Never done this be4. So was so pleased it was easy to do. Happy customer. Thank you.,5,2022/09/09
Quick in terms of how quickly you receive it by email. You do not get a physical card not difficult to add to your PlayStation account,4,2022/05/26
No,5,2022/09/30
No issues thank you!,5,2022/09/28
"Brilliant, worked perfectly!",5,2022/09/29
"When you buy this product you will get emailed a code. You can use this code in the Playstation store to get £50 of credit on to your account. You can use that money for full or partial payment towards games and DLC. If you like PlayStation, you will definitely find something on the store you can enjoy spending the credits on. Warning this voucher code will not work on XBox (see my review of XBox vouchers for how to use these).",5,2022/06/04
easy to use,5,2022/09/24
Took a while to receive the email with the code,4,2022/06/02
"I love that the code is instant, variety of value is all there and you can literally top up your PlayStation the moment you need to.",5,2022/08/21
Item is fine however the recipient had a couple of issues initially trying to redeem the voucher using the code,3,2022/08/31
Cool,5,2022/09/12
"Brought this to buy playstation plus premium (1 year subscription worth for £99.99) which is fantastic value for any PS player, buy annually as you can end up saving up to £60 a year. Buying PSN credit through Amazon is quick and effortless so highly recommended.",5,2022/07/17
"It’s not a card at all, just an electronic link. In theory you can “create” one using a PlayStation link but this was useless and very frustrating as it would not download, copy or share (we have the latest software and expensive kit.",2,2022/12/08
I buy alot of these PSN giftcard for the ps store never had a fault with them.,5,2022/08/15
What more can I say than it was east to order,5,2022/08/20
Unfortunately it is not a ‘gift card’ as such - but code via email. I bought this as a gift but now unable to give it as its not what I thought it was.,3,2022/07/15
"I find having a physical card lying around such a pain, especially if you're gifting it to someone. They get left around, they slide under sofas, they get bent, let alone actually having to go to a physical shop to buy it in the first place.

My brother wanted PSN money for a birthday so I ordered this, it came to my email within minutes, I sent a picture of the code to him, and he redeemed it in minutes, done. Much easier than any alternative.",5,2022/03/30
The quickest and easiest way to add money to your account since PlayStation don't want to take your money directly.,5,2022/08/02
Quick and easy,5,2022/08/23
Saw gift card and thought it was a physical card. Worked fine. Could be clear in title,2,2022/12/16
code came through instantly however its a bit confusing that you need to go to the playstation store to retrevie said code.,5,2022/07/11
Does what it says on the label,5,2022/08/04
"Just a few short seconds after pressing purchase, I had received confirmation email and also the REDEEM button popped up. Clicked button, gave code. Redeemed on PS App and it loaded for me, was less than 2 mins the entire transaction.",5,2022/06/12
Good,5,2022/08/12
"Great way to pay for PS things
Avoids giving my credit card details to a game account that the children access.
Definitely no unauthorised spend issues",5,2022/07/09
"I love these. Simple and instant way to top up the PlayStation Wallet. Purchase, redeem the code and away you go. I think these are a much safer way of keeping track of Playstation spending as when the wallet is empty, the wallet is empty. I use this rather than having a credit card registered racking up the charges.",5,2022/04/24
Very convenient way to top up funds in your wallet if you can't add payment in other ways. You buy the giftcard and the 12 digit code is emailed to you straight away ready to redeem in the ps store. Not really suitable as a gift to put in a birthday card etc...you would want a physical gift card for that purpose,5,2022/04/08
The quickest and easiest way to add money to your account since PlayStation don't want to take your money directly.,5,2022/08/02
Quick and easy,5,2022/08/23
Saw gift card and thought it was a physical card. Worked fine. Could be clear in title,2,2022/12/16
code came through instantly however its a bit confusing that you need to go to the playstation store to retrevie said code.,5,2022/07/11
Does what it says on the label,5,2022/08/04
"Just a few short seconds after pressing purchase, I had received confirmation email and also the REDEEM button popped up. Clicked button, gave code. Redeemed on PS App and it loaded for me, was less than 2 mins the entire transaction.",5,2022/06/12
Good,5,2022/08/12
"Great way to pay for PS things
Avoids giving my credit card details to a game account that the children access.
Definitely no unauthorised spend issues",5,2022/07/09
"I love these. Simple and instant way to top up the PlayStation Wallet. Purchase, redeem the code and away you go. I think these are a much safer way of keeping track of Playstation spending as when the wallet is empty, the wallet is empty. I use this rather than having a credit card registered racking up the charges.",5,2022/04/24
Very convenient way to top up funds in your wallet if you can't add payment in other ways. You buy the giftcard and the 12 digit code is emailed to you straight away ready to redeem in the ps store. Not really suitable as a gift to put in a birthday card etc...you would want a physical gift card for that purpose,5,2022/04/08
"I downloaded a add-on for Borderlands 2, which was easy to do. Ray",4,2022/03/19
must-have if you are in a region which doesn't support payment options on PNS or PlayStation services,5,2022/07/09
"Suprisingly fast, and great service i personally reccomend.",5,2022/07/15
"It’s a gift card not much more to add really,",5,2022/07/10
These make my son very happy,5,2022/07/16
"Brilliant when you have an unpatient kid, code arrived in seconds. Redeem and play, is that easy.",5,2022/06/28
Good,5,2022/07/19
It was the second time I purchased this gift card for my nephew. The code works without any problems.,5,2022/06/23
As soon as you buy it you can use it. Great for last minute present shopping!!,5,2022/06/23
"How do I review an online code……
I got an email and typed it in and it added the credit onto my account. It would be nice tho if there were random boosts where the code gave you a few extra pounds free as a random win.
Anyway this tops up your PS4 wallet and you can shop for an online game to download which seems to take about 5 hours or buy some credits on a game. My kids seem to like buying FIFA packs with players rated far higher than they seem to play in real life…. Odd.",4,2021/07/08
Perfect gift for a gamer,5,2022/07/10
"When you are out of ideas but you know that the person you meant to buy a present to, loves video games, this is the solution. With this, he said that he bought one of the best video games of his life. Voucher is said to be better to buy than the actual hard disk video game, since it will always be there on their ps library and they can play it with any upcoming console. This makes it timeless.
It was also quick and efficient to buy this voucher. You pay, then the code comes to your email in less than a minute. This is a good solution, if you have forgotten to buy anything and you just quickly purchase this in the guest toilet. ;)",5,2021/07/23
This was for a birthday gift. The code came in shortly after I made the purchase. The code worked.,5,2022/06/13
The gift cards are quick and easy to apply,5,2022/07/01
It was good a its exactly what i wanted,4,2022/02/25
"Did the prime to see how it was .. sadly doesn’t adhere to next day delivery.
In the whole good",4,2022/01/18
Just does its job,5,2022/07/03
"I have bought lots of PSN top up cards from Amazon and it usally works fine, I get the code straight away & then enter it in the playstation store no problem. But I just bought a 75 GBP Wallet Top Up which came in 2 codes. I already had £68 in my playstation wallet & entered the £50 code and it worked fine but then tried adding the £25 code & it said - 'The prepaid card transaction exceeds the wallet limit'. After lots of digging it seems that the wallet limit in the UK is £120 not £150 as it says in the description, so now I have to wait until I spend some of the wallet funds before I can add that code. The product info says the code will not expire for 12 months from bying it, but is that info correct? as the wallet limit info wasn't.",4,2020/06/23
Quick and easy... buy the product click redeem and just like that quick and easy last minute gift,5,2022/06/07
Is what it is! It worked!,5,2022/06/27
I spent a lot of time hunting for the code distracted by the 'redeem your voucher' label. It was much more straight forward tan I thought once I saw the code on the receipt e mail!,4,2021/11/19
Used it to purchase from PlayStation as the Amazon version wasn’t a UK version and not resaleable in many places in UK.,5,2022/05/29
"Bought this today, received the email and code within a few moments.
Have previously purchased digital codes with no issue redeeming them on playstation.

This occasion, attempted to redeem the code and was met with error messages stating ""code already redeemed"", literally tried for an hour to sort it, refused to work..

Contacted Sony, who just refer me back to Amazon, who refer me back to Sony, and eventually Amazon expect me to jump through hoops for them to make an exception to refund it, all for a trivial amount (to amazon that is), not to me, of £10, so currently out of pocket with no working code.

Amazon unwilling to budge to make an exception, so my only hope now is if Sony can find a work around, rather than referring me to Amazon....

Honestly will NEVER buy a digital code from Amazon again, and despite years of being a prime member, will likely cancel my membership over this now.

UPDATE: Amazon did eventually agree (after much persuasive persistence with the webchat), to refund the amount as an Amazon gift card, I bought this same code again and the second attempt worked with no issue, so just be very cautious when purchasing and be prepared to fight your case IF this happens to you…",1,2022/08/06
"An easy way to buy someone their credit for their playstation, brother was frilled.",5,2022/06/09
got code quick. works as expected,5,2022/06/19
This item is very self explanatory...,4,2022/01/22
Did as required,5,2022/06/19
Great easy no hassle buy that gives you what it says.,5,2022/06/06
Convenient way of buying it. I redeemed in around 2 mins from purchase time.,5,2022/06/01
Quick and easy way to add credit to your playstation wallet,5,2022/06/03
Good way to download a PlayStation code,5,2022/06/08
I finally got my code after 16 days of waiting which I thought was never gonna come,3,2022/05/13
Purchased as a birthday gift,4,2022/01/10
"Was slightly concerned due to some reviews. No issues, £100 voucher came through within an hour and is added onto PS wallet in seconds. It’s not a gift card, it’s an email with code. Does what it says on the tin.",5,2022/03/09
very simple to download and use within minutes,4,2021/12/31
Nice I used for sharkcards on gta,5,2022/06/01
"Was very disappointed to find that this was NOT an actual gift card! Will have to go through all sorts of techy hoops to pass this to my Grandson, whose present it was meant to be. It also does not make it clear on the site that it is a download when I wanted an actual CARD to make a present of - it feels like I have wasted both my time and money, not getting what I wanted",1,2022/12/03
i didn’t get emailed but it still worked🤷‍♂️👍,4,2021/12/27
I use this to buy either a game or additional content for a game on the PlayStation store.,5,2022/05/04
I buy these for my grandson so he can used them online to buy add-ons for his games,5,2022/05/06
Good way to download a PlayStation code,5,2022/06/08
I finally got my code after 16 days of waiting which I thought was never gonna come,3,2022/05/13
Purchased as a birthday gift,4,2022/01/10
"Was slightly concerned due to some reviews. No issues, £100 voucher came through within an hour and is added onto PS wallet in seconds. It’s not a gift card, it’s an email with code. Does what it says on the tin.",5,2022/03/09
very simple to download and use within minutes,4,2021/12/31
Nice I used for sharkcards on gta,5,2022/06/01
"Was very disappointed to find that this was NOT an actual gift card! Will have to go through all sorts of techy hoops to pass this to my Grandson, whose present it was meant to be. It also does not make it clear on the site that it is a download when I wanted an actual CARD to make a present of - it feels like I have wasted both my time and money, not getting what I wanted",1,2022/12/03
i didn’t get emailed but it still worked🤷‍♂️👍,4,2021/12/27
I use this to buy either a game or additional content for a game on the PlayStation store.,5,2022/05/04
I buy these for my grandson so he can used them online to buy add-ons for his games,5,2022/05/06
"It takes several hours to receive the code, but it is working.",5,2022/05/17
No problems have brought on more than one occasion and will continue to buy when needed would 100% recommend :),5,2022/04/21
"Purchased at Christmas for my son. Even though Ireland is on the list for countries that these will work in, they will not. Had to get onto Amazon live chat, then Sony and then back to Amazon before it was eventually sorted. Only took 6 hours.",1,2022/12/27
I really wish I could 5 star this. I'm not even sure it should be 4 starred really. I use to love that I could get wallet top ups straight away to add to my game play being a gamer it helps to have access to quick top ups. You could redeem your voucher codes there and then and it would be done within seconds. Recently it now takes 1hr-3hrs for you to receive the code and sometimes you don't even receive a code or any contact please address this because I want to be able to give this a 5 star as it use to be a really good way to get a quick top up. Only reason I have given it a 4 is because I still want this to be a good/ quick way to top up.,4,2019/11/07
Bought as a gift and recipient was well chuffed so I can't complain. It was well worth the money.,5,2022/04/18
"I bought it as a Christmas present for my 16 year old grandson, but am having so much difficulty to email it to him without setting up a profile for me. Needs careful consideration as it cannot be cancelled and refunded. Would have been much easier to buy elsewhere as an actual gift card.",1,2022/12/20
"Buy on Amazon, look for an instant email, put the code on the email in your PlayStation account, Done! Brilliant 👍",5,2022/04/06
I got 15 pound and used it on mk11 great way to get ps gift card instead of shop. :),5,2022/04/16
This basically does everything it says on the tin.,5,2022/05/13
"I was trying to buy a game from the store on PS3 but at the checkout I received an error with my debit card. I then tried to use my Paypal account but I wasn't able to do that either for reasons unknown. I bought a £10 voucher from Amazon and within minutes I had redeemed the code on PSN and was downloading the game I wanted.
This is arguably the best way to pay for things on the PSN as you don't need to give Sony your card details and it avoids your detail being compromised which happened for a lot of people during the hack of the PSN in 2011.",5,2021/03/26
"I much prefer to purchase these top up codes on amazon than give Sony my payment details. The PlayStation Network has been hacked more than once in the past. I'm not exactly sure what Sony is doing with that Annual PlayStationPlus subscription that costs around £50. It doesn't seem to be going into any decent monthly games so perhaps they should invest it into cyber security.
I also dont purchase a great deal from the Playstation store so when i do want something these are quick and easy to buy.
Im not sure why some people are having trouble with them. I've never had an issue so far, just purchase the voucher and you get the code instantly. Go to the playstation store (I do it on my PS4, not the website) and scroll to the bottom where it says ""Redeem"" and enter your code. Done, takes about 2 minutes max.",4,2019/01/06
"I received my code but unfortunately can't redeem in Ireland,my son is extremely upset",2,2022/10/08
"This was super quick to be delivered to my inbox, great if you do not want to use your card details on your playstation",5,2022/03/17
Does what it says. Got my code quick and easy to use.,5,2022/04/29
I’m enjoy it!,5,2022/05/20
"Quick easy to use , usually refunded around Black Friday",5,2022/05/02
This product is very good because it comes through via email very fast it takes minutes for it to come through,5,2022/04/02
I bought 1£20 and 3 10 I found code for £20 and one for £10 but am unable to find code for 2 £10 cards,3,2022/02/26
it said gift card which it was meant to be to physically give as a Christmas present but it actually was an electronic gift card with a code in an email not good enough especially when amazon/the seller of the playstation credit would not accept a refund for me to chage it,5,2021/11/28
Quick access to your redeem code.,5,2022/05/09
I WANTEDS AN ACTUAL GIFT CARD TO HAND OVER IN AN ENVELOPE. NO THIS IS NOT WHAT I WANTED AT ALL. I CAN UNDERSTAND HOW IT WORKS AND IT MIGHT BE FINE FOR SOME BUT IT'S NOT WHAT I WANTED. HOW CAN I GET A REFUND,1,2022/12/15
My grandson loves this game,5,2022/05/05
"I wanted to buy a gift card for my present whose on PlayStation but I play Xbox. This was fast, easy and simple and the code was shown to me immediately. No complaints here.",5,2022/02/11
"I had always wanted to order a PSN card from Amazon and after the horror year that has been 2020, I decided I needed to take the plunge and go for it. What can I say? Wow. When I selected the card I wanted and committed to pay for it, liberating is the word I would use to explain this experience. It leaves you with a weird sensation but one I would love to encounter again. This PSN card is just astonishingly good and I urge you all to try this at least once in your life.

Oh, and the code arrives by email. It’s magical.",5,2020/12/27
Thanks,5,2022/05/13
Good buy,5,2022/05/09
"Can't go wrong, very easy to use and delivery almost instant.",5,2022/04/14
"This is the worst purchasing experience i have ever had. Verges on a scan. Do not buy these vouchers. Will not redeem, cant refund, total waste of time. Highly unrecommended",1,2022/12/25
"Needed a quick Birthday Present for a guy who already has everything. Code sent by email within 5 minutes of order. Sent code to 'Birthday Boy' and he had credit on his account instantly.
No Fuss, No Hassle.",5,2022/01/18
Amazing worked straight away,5,2022/05/08
Perfect,5,2022/05/08
"I have ordered from here before and have not had any issues whatsoever,but this time is not the case.Upon ordering I had not received my code and am now regretting my decision of buying from here.",5,2022/01/23
As title said easy (1 click of a button) and fast (received in minutes),5,2022/04/02
"My son loves this method.
Easy to buy and use.
No issues.",5,2022/04/05
Always a easy Xmas present for cousins and nephews.,5,2022/04/16
Great buy,5,2022/05/05
"This PlayStation gift card code was for a gift but the code doesn't work so i was trying to get a refund with no luck or help,I will not be buying a PlayStationcard from amazon.",3,2022/01/02
It says it can be used in multiple countries including Ireland so I got one for my nephew for Xmas and it has said he can't use it in his region. That's mis-selling at it's best,1,2022/12/15
"I bought a £100 Playstation Gift card, and when I tried to redeem it stated that it had already been redeemed. When I contacted Amazon Support, they just pushed me over to Sony whose live support is only online until 19:30 UTC. Will never buy a digital gift card again...I'm out of pocket and no way to resolve this at the moment.",1,2022/11/07
"This was purchased as a gift for a child (my Grandson). It is fine, but the page on Amazon that describes this item states in 3 different places that it's a 'GIFT CARD' - and even says words like 'Dispatched from and sold by Amazon Media EU S.à r.l..' and 'Deliver to ......... my post code'. All these things indicate that you are buying a physical gift card that will be delivered in the post rather than an email with a code within it.
I had seen these in my local shop but only in multiples of £10 and I wanted a card with £15 on it. The page also shows a picture of the card which looks the same as the ones I had seen in my local store - VERY MISLEADING !!!!!!!!!
Fortunately I have a working printer so I have printed the email to give to my Grandson.",2,2021/12/13
"fast and reliable, code came in 3 mins approximate via email.",5,2022/03/30
I have got so many grandkids they am great to get,5,2022/04/04
Always get it instant and never have to wait long.,5,2022/03/30
VERY MISLEADING THOUGHT IT WAS A GIFT CARD ...NOT JUST A CODE....SHOULD BE MADE CLEAR IN THE DESCRIPTION.... APPARENTLY I CANNOT OBTAIN A REFUND EITHER,1,2022/12/24
This voucher is not a voucher wont you can download from Amazon site as a gift so it is no use to me as I don't want to be a Sony member,1,2022/12/15
"It's a gift card. what more must you know. It does what its supposed to.

Hope that helps.",5,2022/03/06
It’s a gift voucher,5,2022/04/23
Loved how quick this is it's instant ive bought more since and will continue to purchase when needed.,5,2022/03/07
"I got the key, everything is fine. I advise everyone",5,2022/04/02
Fast and efficient thanks,5,2022/04/19
I bought a game. Go me!,5,2022/04/09
"This is the best way to add funds to your PlayStation, the Amazon service send the code to your email ready for you to redeem, it was about a 10 minutes for me to get my code, very happy with the service have a great day wveryone",5,2021/11/09
Like it used for ps4,5,2022/04/18
I bought this and tried to enter this code and it gave me this message so what should I do,1,2022/12/27
Instant,5,2022/04/22
